,Description,Processor,RAM,Operating System,Storage,Display,Warranty,Price,ram_in_gb,ddr_version,processor_name,gen_type,OS,disk_drive,storage_in_gb,size_in_inches,touchscreen,company,graphic_card
0,Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,Prime OS Operating System,512 GB SSD,29.46 cm (11.6 Inch) Display,1 Year Onsite Warranty,"16,990",4,4,Intel,10,Windows,SSD,512,11.6,No,Primebook,No
1,Primebook 4G Android Based MediaTek MT8788 - (4 GB/128 GB EMMC Storage/Prime OS) 4G Thin and Light Lap...,Intel Core i5 Processor (11th Gen),4 GB DDR4 RAM,Prime OS Operating System,512 GB SSD,29.46 cm (11.6 Inch) Display,1 Year Onsite Warranty,"18,990",4,4,Intel,10,Windows,SSD,512,11.6,No,Primebook,No
2,ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS ...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"38,990",8,4,Intel,10,Windows,SSD,512,15.6,No,Asus,No
3,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light La...,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"47,990",8,4,AMD,Not Mentioned,Windows,SSD,1000,15.6,No,Asus,No
4,HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,Intel Core i7 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"38,990",8,4,Intel,10,Windows,SSD,256,14,No,HP,No
5,ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVID...,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"65,990",8,4,AMD,Not Mentioned,Windows,SSD,1000,15.6,No,Asus,Yes
6,APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Mac OS Operating System,512 GB SSD,33.78 cm (13.3 inch) Display,2 Year On-Site & Carry-In Warranty,"79,990",8,4,Intel,10,Mac,SSD,512,13.3,No,Apple,No
7,MSI Katana 15 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050...,Intel Core i3 Processor (11th Gen),16 GB DDR5 RAM,Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"96,990",16,5,Intel,10,Windows,SSD,256,15.6,No,MSI,Yes
8,ASUS Vivobook K15 OLED Ryzen 5 Hexa Core AMD R5-5500U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L51...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Domestic Warranty,"58,990",16,4,Intel,10,Windows,SSD,256,15.6,No,Asus,No
9,realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,"14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)",1 Year Onsite Warranty,"35,990",8,4,AMD,Not Mentioned,Windows,SSD,512,14,No,Realmebook,No
